X,Y,Shift,Age,Primary_fur_color,Location,Ground_Sighting_Measure,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from,Day,Plot_number,Section
-73.9710541405708,40.7724691605718,PM,Adult,Black,Above Ground,10,False,False,True,False,False,False,False,False,False,False,False,True,False,19,10,F
-73.9761592532482,40.7747213585387,AM,Juvenile,Gray,Above Ground,10,False,False,False,False,False,False,False,False,False,True,False,False,False,6,10,A
-73.9544007658685,40.7950689723135,PM,Juvenile,Gray,Ground Plane,0,False,False,False,False,True,True,True,False,False,False,False,False,False,13,38,F
-73.9575986161364,40.799368134968,PM,Adult,Gray,Above Ground,25,False,False,True,False,False,False,False,False,False,False,False,False,True,14,41,B
-73.9607701370443,40.7955418990855,PM,Adult,Gray,Ground Plane,0,False,True,False,False,False,False,False,False,False,False,False,False,True,13,36,A
-73.9764036522984,40.7705846185121,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,6,5,C
-73.9589249555235,40.7908193284981,PM,Adult,Gray,Above Ground,2,False,False,False,True,False,False,False,False,False,False,False,True,False,17,32,E
-73.9634623418761,40.7917685404482,PM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,False,False,False,False,False,17,31,A
-73.9521110154872,40.7978449143313,AM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,False,True,18,42,G
-73.9574809028248,40.7950013620207,PM,Adult,Gray,Ground Plane,0,False,True,False,False,True,False,False,False,False,False,False,False,True,14,37,D
-73.9570437717691,40.7948509408039,PM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,False,True,6,37,E
-73.967097592707,40.7854119342538,AM,Adult,Gray,Above Ground,50,True,False,False,True,False,False,False,False,False,True,False,False,True,13,24,B
-73.9711318790279,40.7701941550273,AM,Adult,Gray,Above Ground,3,True,False,False,False,False,False,False,False,False,True,False,False,True,10,7,G
-73.9763243383771,40.7705409315703,PM,Adult,Gray,Above Ground,20,False,False,True,False,False,False,False,False,False,False,False,False,False,10,5,C
-73.9651754464439,40.7755181941559,AM,Adult,Gray,Above Ground,7,False,False,True,True,False,False,False,False,False,False,False,True,False,8,15,I
-73.9700100617602,40.7815739959357,PM,Adult,Gray,Above Ground,20,True,False,False,False,False,False,False,False,False,False,False,False,False,18,19,B
-73.971905618214,40.776238547063,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,True,False,18,13,D
-73.9530040923555,40.7922896176936,PM,Juvenile,Gray,Ground Plane,0,False,False,False,True,False,False,False,False,False,False,False,True,False,7,36,I
-73.9572093760529,40.7988487300216,AM,Adult,Gray,Above Ground,6,False,False,True,False,False,False,False,False,False,False,False,False,False,10,41,B
-73.9607746337979,40.7939581069382,AM,Adult,Gray,Ground Plane,0,False,False,False,False,False,False,False,False,False,False,False,True,False,10,35,B
-73.9566346046453,40.7973923396512,PM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,False,False,13,40,D
-73.9592038887673,40.796382675378,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,False,18,38,B
-73.9511118711108,40.7950813345902,AM,Adult,Cinnamon,Ground Plane,0,True,False,False,False,True,False,False,False,False,False,False,False,False,18,40,I
-73.9769939796382,40.7729537573035,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,8,7,B
-73.9712527809516,40.7763310392591,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,True,14,13,D
-73.9671147090087,40.7772624641112,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,True,False,False,False,False,False,False,True,10,16,G
-73.9588660250232,40.7982597947515,AM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,True,False,False,True,True,10,40,A
-73.9651601541795,40.7761841788025,PM,Adult,Cinnamon,Ground Plane,0,True,False,False,False,True,False,False,False,False,False,False,False,False,12,15,I
-73.9792155473689,40.7693711799946,PM,Adult,Gray,Above Ground,5,False,False,True,False,False,False,False,False,False,False,False,False,False,7,3,B
-73.9664100504436,40.7828778892276,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,True,False,8,21,D
-73.9746229094643,40.7748467061969,PM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,False,True,False,False,False,14,10,B
-73.9705092958892,40.7761092972965,PM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,False,False,False,True,False,8,13,E
-73.9581655949437,40.7997708190022,PM,Adult,Black,Ground Plane,0,True,False,True,True,False,False,False,False,False,False,False,False,True,7,41,A
-73.9755560786227,40.7662992317575,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,False,6,2,F
-73.9696433533986,40.7828208083804,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,7,20,B
-73.9664711607022,40.787896428768,PM,Adult,Gray,Ground Plane,0,False,False,True,False,False,False,False,False,True,False,False,False,False,6,26,A
-73.9575943815564,40.7933755266787,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,True,6,35,E
-73.9694168118643,40.7728877377977,PM,Adult,Gray,Above Ground,5,False,False,True,False,True,False,False,False,False,False,False,False,True,13,11,G
-73.9528682507794,40.7925807808307,PM,Adult,Gray,Ground Plane,0,False,False,False,True,False,False,False,False,False,True,True,False,False,7,36,I
-73.9782417115139,40.7724665036447,AM,Adult,Gray,Above Ground,10,False,False,False,False,True,False,True,False,False,True,False,False,False,6,7,A
-73.9721442939797,40.7700750802317,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,False,18,7,G
-73.969847380865,40.7769884612305,AM,Adult,Gray,Above Ground,25,False,False,True,False,False,False,False,False,False,False,False,True,False,8,14,E
-73.9768652785664,40.7684838168207,PM,Adult,Cinnamon,Ground Plane,0,False,False,False,False,False,False,False,False,False,False,False,False,False,10,3,D
-73.9590992841423,40.793758098573,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,13,35,D
-73.9724063986771,40.7705711897977,PM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,True,False,12,7,F
-73.9661361310677,40.7787872561177,PM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,False,False,False,False,True,13,18,G
-73.9730750601212,40.7701304211944,PM,Adult,Gray,Above Ground,10,False,True,False,False,False,False,False,False,False,False,False,False,False,8,6,F
-73.971970670614,40.7720868124544,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,False,13,9,F
-73.95621174551,40.7951044378207,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,10,38,E
-73.9564023626619,40.7905423546155,AM,Adult,Gray,Above Ground,13,False,False,True,False,False,False,False,False,False,False,False,True,True,13,33,G
-73.9532620128307,40.7952475548048,AM,Adult,Gray,Ground Plane,0,False,False,False,False,False,False,False,False,False,False,False,False,False,18,39,G
-73.9576349321357,40.7904409912437,PM,Juvenile,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,13,32,G
-73.9763430829342,40.7686351097159,PM,Adult,Cinnamon,Above Ground,3,False,True,False,False,False,True,False,False,True,False,False,False,True,8,4,D
-73.9714789136757,40.7694886645194,AM,Adult,Cinnamon,Ground Plane,0,False,False,False,True,False,False,False,False,False,False,False,False,False,8,6,H
-73.9755133710665,40.7697883435981,AM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,False,False,False,True,False,8,5,E
-73.9702348982803,40.7773295419104,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,17,15,D
-73.9686056085297,40.7781658424866,AM,Adult,Gray,Ground Plane,0,False,False,False,True,True,False,False,False,False,False,True,False,False,14,16,E
-73.9522142360388,40.7949598486683,PM,Juvenile,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,True,False,13,39,H
-73.9576589997493,40.7972751877447,PM,Adult,Gray,Above Ground,50,False,False,True,False,False,False,False,False,False,False,False,False,False,6,39,C
-73.9637946878735,40.7915700446878,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,False,False,10,31,A
-73.9710991123992,40.7723889726647,PM,Adult,Gray,Ground Plane,0,False,False,False,True,False,False,False,False,False,False,False,True,False,14,9,F
-73.9638270331336,40.7810450065235,PM,Adult,Gray,Ground Plane,0,False,False,False,True,False,False,False,False,True,False,False,False,True,7,21,G
-73.9756015005821,40.7670090327736,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,True,False,True,False,6,2,F
